channelId,channelTitle,videoId,weight,videoCount
UCzi1cAY62PslI1b-4KGVxoQ,Anthony Gugliotta,"owStZxm9DIA,xmDeSs4ty-o,FwlSfetKBwk,JYze6WK3w2c,SHhW3XvV3gQ,SHhW3XvV3gQ,czpKb0KDphc,SHhW3XvV3gQ,tbTdLcNsLOQ,tkpqxNie_EQ,VoiAqI-dwTA,JAgKIDE72W8,sfNhSFPVL_4,NN1vinRLl0U,-ce1V4XhsAg,SHhW3XvV3gQ,OIdXWi4sWC4,czpKb0KDphc,NutvXZJUPEc,j5O6x5SYgMI,j5O6x5SYgMI,qMzf8yUYmTE,jUrwja2reik,nvW0jYarLQs,-XkMVu9TrmA,czpKb0KDphc,cDhfzRP0y48,GP37tIHj9S4,bR92SaLrTNM,wydPeVwekH4,Fjhl2Kny3J0,bR92SaLrTNM,xSHHpl-aRGU,-XkMVu9TrmA,qMzf8yUYmTE,lnilvIti67k,9tigA4mweNM,tkpqxNie_EQ,OIdXWi4sWC4,Jb8eVHYxUSs,nvW0jYarLQs,BZxidDxlbO0,k-fZFv8AM_E,5LJY0u0ixtg",0.99,44
UCmJry6Nnjuai_A3zeTu-0jw,THE ADWIN ,"3UpP2a2KMVI,3UpP2a2KMVI,vwA4EFWUjZE,JIpPAICCyus,3UpP2a2KMVI,vwA4EFWUjZE,vwA4EFWUjZE,3UpP2a2KMVI,vwA4EFWUjZE,3UpP2a2KMVI",0.99,10
UCA0HlE1oA0jduQzdG0inGeA,Photoshop Shorts,"1COfbQrItVk,rq7Q7iMiTeg",0.99,2
UCeMvA8xJIGgvEjO0kgGFOpg,Pat Kay,"hVuTuib65WM,Se1WzQLyldk,hVuTuib65WM,f2XsQkuAsaU,Se1WzQLyldk,hVuTuib65WM,VUfsDqz8kBs,AvIKFZahUCY,f2XsQkuAsaU,hVuTuib65WM,x1WMLywZWGM,hVuTuib65WM,Se1WzQLyldk,hVuTuib65WM,wLKgVIsK1Qw,k06hOV_LC1w,947fNMh5en4,4tI1LzbBFaA,f2XsQkuAsaU,rvAhPiH3RLk,iyYVDK4Hu8k,vjhQUwSmvfg,SZb-YwRvHEM,JfQnOZojpH4,PUsvcpWCZ-M,hVuTuib65WM,hVuTuib65WM,ieCZvKsC_po,hVuTuib65WM,ieCZvKsC_po,yIOVJXNoDxY,Se1WzQLyldk",0.99,32
UCH6acC9jnug-mI4vdGvuDbA,Simon d'Entremont,"KvIfXkZyPGQ,chw8GxuW6N4,NAexy836ff8,nqKqSfyTBx8,KBq5FshJE3I,VIDqy3SXZG8,KvIfXkZyPGQ,PrnQd5Sb3q0,m7IaoxfSqls,m7IaoxfSqls,NAexy836ff8,5vu8ZVlSSqs,lGvz9Gfv5HE,KvIfXkZyPGQ",0.99,14
UCBG4ZzTTBVg23yVdQhztnfQ,Jason Vong,"yzqGTWbhcIw,Fh6PIafC8wU,pLIR_WMcT1s,1z-rq4RM2go,yzqGTWbhcIw,0RH5MNr7r6g,TqZwGeENfo4,Fh6PIafC8wU,iJ03GR_4BCs,voHkq4xSVqo,wlYpq6fYnSo,heXoiBidX8Y,heXoiBidX8Y,YvH45ltJzcU,6-0N5DMwnzA,9RFUS9YegMw,yWxaHM-J92o,rxbP_vGTosU,Fh6PIafC8wU,0RH5MNr7r6g,xL8-OWSREoA",0.99,21
UCzYoPONSfo9izLEHZKq9V2g,Ed Verosky,"8g1kFCs4SaU,FjdUcyjDKMI,Qb-727wvngs,8g1kFCs4SaU,8g1kFCs4SaU,QexVkmRuWio,8g1kFCs4SaU,EJWNQv01VtI,EJWNQv01VtI,cDBKECztbL0,YzvHEBm6VZs,q3hAHv2v4SA,ks0LVbnrWic,4SqGcm9LSyA,rq0q3Ea5fkQ,9YMhUrD7qkw,CadByjgmT5U,OV85bCzUPcE",0.9801,18
UC18fv3yDege-nPN5zO48eHg,Kyle Nutt,"H-9qGWrW83M,rDc3ayndF94,H-9qGWrW83M,H-9qGWrW83M,odrNK0Y_z-M",0.9801,5
UCAa3CS6QjTk6GvEibfnjOQw,Ian Worth,"tQ9gPQAk8xY,tQ9gPQAk8xY,N9hEMxH0YkE,KE_SA9nOO4k,6ckUZKRlxF4,Rb1gEvOka7s,auVoxWbQT3c,p5buVLxmLkQ,h0IjFMHjiX8,IWbjeN2poLU,2VC5Nw0HppU,8Jn9KETiqG8,IvOJtVaUwww,zEKDzWFSOJk,jdDSnuiPXA8,Bd3KLqBAGB0,VkIcBz3UzqQ,ZwhR8X0A9Xs,6cZu7NYdR04,tQ9gPQAk8xY,6cZu7NYdR04",0.9801,21
UCqHOLeGVTDcgX-IVo6aY_bg,Eren Sarigul,"BrZ5sOmTk_M,BrZ5sOmTk_M,a55TS8jE4fY,BrZ5sOmTk_M",0.9801,4
UChgx7AuAhkOCeMhKwGdg8Qg,Anthony Turnham,"KR7L2oSRlwY,2xMCV6rRGBo,yTid8xxKXoE",0.970299,3
UCmV6AkO8ALtrOETmPYphw9w,Eli Infante,"DFlXcydFe8g,Ol1X0aClAVo,sNGDA9JfJ3g,Ur4SnI2FM7w,nVRcBqPqaQ8,Ur4SnI2FM7w,zugmSMfTVoQ",0.970299,7
UCpmd_5VG_FiJI3sJjdWVMtg,Mitch Lally,"qZUWdu2PnXg,qZUWdu2PnXg,qZUWdu2PnXg,y1Fm4G5W0Zg,WKHWB49Mcrs,qZUWdu2PnXg,qZUWdu2PnXg",0.970299,7
UC9lyUdwosxq_OxC1uggjUPA,Photo Genius,"UMnxM1TBshE,M7mpyTXB0wc,7GuKQyFebjM,70GES2sWMRk,QmS6IhqMQ7A,QERBFx7MR_Q,QmS6IhqMQ7A,elLk7CPYOj0,tZ_gis60lRw,98J200KEPog,OUr4auKUMRQ,UMnxM1TBshE,4hU5vjWPHqM,Kf6nirVhzXc,We0Dakl1n6I,RrVeYNs_biw,2R8aWoVTXhw,Uy77q1gDzks,WugMOgsFI5A,y5HINrVOxkA,ftNUF8J9NB0,vLuhipWi88M,l-ec9vzRlpI,-V2RnZl4n-Q,qoqhvTHnOAg,EfH6lHekOn8,gQq1BS0RWYw,UMnxM1TBshE,Yyo9vzC19Jk,M7mpyTXB0wc,Yeg-NizDjLs,II9PCVVhvpY,tZ_gis60lRw,EfH6lHekOn8,24qGRgIzefo,YtzK6zX7adU,Syvo9ZjmcHA,UMnxM1TBshE,Yyo9vzC19Jk,M7mpyTXB0wc,gQq1BS0RWYw,X5vogaSCmuk,EfH6lHekOn8,u0RCz81TfAA,kM3Ih2GSgI4,ZU-g-ZAG4Ok,TeMTKk1cLVA,dNUJmFYLhWU,V7DvoogWcLY,hHzR7atEYzM,hHzR7atEYzM,crmN3Hvc8WA,jWDtaXYsGwE",0.970299,53
